generation,specimen_id,total_fitness,alive_bonus,joints_at_limits,speed,distance
4,,224.33,228.0,-3.6699999999999906,0.0,0.0
4,,287.90000000000003,293.0,-5.099999999999978,0.0,0.0
4,,169.28,171.0,-1.7200000000000013,0.0,0.0
5,25,217.55,220.0,-2.4499999999999975,0.0,0.0
5,26,241.21,244.0,-2.789999999999997,0.0,0.0
5,27,461.95000000000005,470.0,-8.049999999999942,0.0,0.0
5,28,140.63,143.0,-2.370000000000001,0.0,0.0
5,29,159.45,161.0,-1.5500000000000012,0.0,0.0
5,30,388.87000000000006,397.0,-8.12999999999996,0.0,0.0
5,31,164.01,166.0,-1.9900000000000013,0.0,0.0
5,32,158.24,160.0,-1.7600000000000011,0.0,0.0
5,33,490.6000000000001,501.0,-10.399999999999913,0.0,0.0
5,34,146.28,148.0,-1.720000000000001,0.0,0.0
5,35,158.47,160.0,-1.5300000000000011,0.0,0.0
5,36,324.49,329.0,-4.509999999999987,0.0,0.0
5,37,143.3,145.0,-1.700000000000001,0.0,0.0
5,38,184.18,187.0,-2.8199999999999945,0.0,0.0
5,39,150.62,153.0,-2.3799999999999977,0.0,0.0
5,40,217.92000000000002,221.0,-3.0799999999999934,0.0,0.0
5,41,185.45,188.0,-2.549999999999997,0.0,0.0
5,42,248.15,251.0,-2.8499999999999934,0.0,0.0
5,43,173.48,175.0,-1.5200000000000011,0.0,0.0
5,44,225.23000000000002,230.0,-4.769999999999995,0.0,0.0
5,45,322.28000000000003,327.0,-4.719999999999968,0.0,0.0
5,46,131.15,133.0,-1.8500000000000012,0.0,0.0
5,47,194.97,199.0,-4.0299999999999905,0.0,0.0
5,48,209.37,213.0,-3.629999999999995,0.0,0.0
5,49,189.87,193.0,-3.129999999999998,0.0,0.0
5,,202.72,205.0,-2.2799999999999985,0.0,0.0
5,,259.36,264.0,-4.639999999999985,0.0,0.0
5,,221.44,225.0,-3.559999999999995,0.0,0.0
5,,185.73,188.0,-2.269999999999998,0.0,0.0
5,,199.25,203.0,-3.7499999999999964,0.0,0.0
5,,146.86,148.0,-1.1400000000000006,0.0,0.0
5,,191.77,194.0,-2.2299999999999986,0.0,0.0
5,,150.53,152.0,-1.470000000000001,0.0,0.0
5,,229.71,233.0,-3.2899999999999907,0.0,0.0
5,,168.3,171.0,-2.7000000000000015,0.0,0.0
5,,292.91,299.0,-6.089999999999988,0.0,0.0
5,,274.70000000000005,280.0,-5.299999999999981,0.0,0.0
5,,215.78,219.0,-3.219999999999995,0.0,0.0
5,,163.73,166.0,-2.2700000000000005,0.0,0.0
5,,241.47,244.0,-2.529999999999996,0.0,0.0
5,,269.73,275.0,-5.2699999999999765,0.0,0.0
5,,272.59000000000003,279.0,-6.409999999999996,0.0,0.0
5,,275.31,280.0,-4.689999999999982,0.0,0.0
5,,146.06,148.0,-1.9400000000000013,0.0,0.0
5,,218.25,222.0,-3.749999999999996,0.0,0.0
5,,145.55,148.0,-2.4500000000000015,0.0,0.0
5,,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
5,,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
5,,189.24,191.0,-1.7600000000000013,0.0,0.0
5,,136.71,138.0,-1.290000000000001,0.0,0.0
6,25,227.52,231.0,-3.47999999999999,0.0,0.0
6,26,198.27,201.0,-2.729999999999998,0.0,0.0
6,27,308.34000000000003,313.0,-4.659999999999984,0.0,0.0
6,28,278.68,283.0,-4.3199999999999825,0.0,0.0
6,29,117.42,119.0,-1.580000000000001,0.0,0.0
6,30,177.10999999999999,179.0,-1.8900000000000012,0.0,0.0
6,31,123.82,125.0,-1.1800000000000006,0.0,0.0
6,32,182.83,185.0,-2.169999999999998,0.0,0.0
6,33,160.77,163.0,-2.23,0.0,0.0
6,34,238.56,241.0,-2.439999999999998,0.0,0.0
6,35,254.61,258.0,-3.38999999999999,0.0,0.0
6,36,244.03,247.0,-2.969999999999998,0.0,0.0
6,37,155.01,157.0,-1.9900000000000015,0.0,0.0
6,38,137.58,139.0,-1.420000000000001,0.0,0.0
6,39,149.9,152.0,-2.100000000000001,0.0,0.0
6,40,193.69,198.0,-4.309999999999994,0.0,0.0
6,41,117.67,119.0,-1.330000000000001,0.0,0.0
6,42,179.76,182.0,-2.24,0.0,0.0
6,43,314.38,319.0,-4.619999999999986,0.0,0.0
6,44,188.99,192.0,-3.0099999999999962,0.0,0.0
6,45,307.67,311.0,-3.3299999999999885,0.0,0.0
6,46,492.36,501.0,-8.639999999999969,0.0,0.0
6,47,265.58,268.0,-2.4199999999999986,0.0,0.0
6,48,184.67000000000002,187.0,-2.3299999999999983,0.0,0.0
6,49,145.41,147.0,-1.5900000000000012,0.0,0.0
6,,148.15,150.0,-1.8500000000000014,0.0,0.0
6,,229.98000000000002,234.0,-4.019999999999992,0.0,0.0
6,,202.73,205.0,-2.269999999999997,0.0,0.0
6,,278.95,283.0,-4.049999999999994,0.0,0.0
6,,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
6,,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
6,,492.76000000000005,501.0,-8.239999999999956,0.0,0.0
6,,210.95,213.0,-2.0500000000000003,0.0,0.0
6,,170.68,173.0,-2.32,0.0,0.0
6,,492.38000000000005,501.0,-8.61999999999995,0.0,0.0
6,,177.53,179.0,-1.4700000000000009,0.0,0.0
6,,141.64,143.0,-1.360000000000001,0.0,0.0
6,,269.48,274.0,-4.51999999999999,0.0,0.0
6,,169.71,172.0,-2.2899999999999983,0.0,0.0
6,,205.0,207.0,-2.0000000000000013,0.0,0.0
6,,418.15000000000003,423.0,-4.849999999999967,0.0,0.0
6,,168.46,170.0,-1.5400000000000011,0.0,0.0
6,,232.53,237.0,-4.469999999999994,0.0,0.0
6,,367.19000000000005,373.0,-5.809999999999968,0.0,0.0
6,,211.6,215.0,-3.3999999999999932,0.0,0.0
6,,159.29,161.0,-1.710000000000001,0.0,0.0
6,,159.45,161.0,-1.5500000000000012,0.0,0.0
6,,303.68,308.0,-4.319999999999986,0.0,0.0
6,,158.65,160.0,-1.350000000000001,0.0,0.0
6,,217.76,221.0,-3.239999999999997,0.0,0.0
7,25,140.49,142.0,-1.510000000000001,0.0,0.0
7,26,182.04,185.0,-2.9599999999999973,0.0,0.0
7,27,271.32,275.0,-3.6799999999999873,0.0,0.0
7,28,95.13,96.0,-0.8700000000000004,0.0,0.0
7,29,223.48000000000002,226.0,-2.5199999999999956,0.0,0.0
